Username (White),Rating (White),Title (White),Username (Black),Rating (Black),Title (Black),Result,Accuracy,Moves Count,Date,Time Control,Tournament Game
TrashinalMaster,(2387),NM,MagnusCarlsen,(3299),GM,01,83.2 86.3,59,"Sep 16, 2023",1 min,Y
MagnusCarlsen,(3299),GM,Parhamov,(3017),GM,10,88.7 83.8,63,"Sep 16, 2023",1 min,Y
MagnusCarlsen,(3296),GM,OhanyanEminChess,(2978),IM,10,95.9 87.2,25,"Sep 16, 2023",1 min,Y
MagnusCarlsen,(3294),GM,Nikita_Klepikov,(2348),FM,10,87.2 71.3,28,"Sep 16, 2023",1 min,Y
lamomiajunior,(2809),IM,MagnusCarlsen,(3294),GM,01,80.9 95.3,39,"Sep 16, 2023",1 min,Y
MagnusCarlsen,(3293),GM,Vsevolod_Ovchinnikov,(2655),FM,10,87.4 71.3,33,"Sep 16, 2023",1 min,Y
gurelediz,(2992),IM,MagnusCarlsen,(3293),GM,01,82.5 87,48,"Sep 16, 2023",1 min,Y
HanSchut,(2212),NM,MagnusCarlsen,(3291),GM,01,68.9 78.8,49,"Sep 16, 2023",1 min,Y
TrimitziosP7,(2979),FM,MagnusCarlsen,(3291),GM,01,66.8 78.8,32,"Sep 16, 2023",1 min,Y
MagnusCarlsen,(3289),GM,denizozen,(2956),IM,10,85.7 79.7,34,"Sep 16, 2023",1 min,Y
MagnusCarlsen,(3287),GM,starworld123,(2837),GM,10,92.9 78.4,27,"Sep 16, 2023",1 min,Y
Gogolev_Artemy,(2449),IM,MagnusCarlsen,(3286),GM,01,84.4 92.6,30,"Sep 16, 2023",1 min,Y
MagnusCarlsen,(3286),GM,LiamPutnam2008,(2930),FM,10,92.8 69.3,19,"Sep 16, 2023",1 min,Y
Larina_Maria,(2073),WFM,MagnusCarlsen,(3284),GM,01,67.2 87,25,"Sep 16, 2023",1 min,Y
stollenmonster,(2746),CM,MagnusCarlsen,(3284),GM,01,79.5 91,36,"Sep 16, 2023",1 min,Y
