Username (White),Rating (White),Title (White),Username (Black),Rating (Black),Title (Black),Result,Moves Count,Date,Tournament Game,Rating Difference,Accuracy (White),Accuracy (Black),Accuracy Difference,Time,Interval,Total Time,Game Type
GHANDEEVAM2003,3086,GM,nihalsarin,3142,GM,White Win,33,"Aug 22, 2023",N,-56,,,,1.0,0.0,1.0,Bullet
nihalsarin,3152,GM,GHANDEEVAM2003,3076,GM,Black Win,35,"Aug 22, 2023",N,76,,,,1.0,0.0,1.0,Bullet
GHANDEEVAM2003,3066,GM,nihalsarin,3162,GM,White Win,39,"Aug 22, 2023",N,-96,81.1,72.7,8.399999999999991,1.0,0.0,1.0,Bullet
nihalsarin,3173,GM,GHANDEEVAM2003,3055,GM,Draw,64,"Aug 22, 2023",N,118,,,,1.0,0.0,1.0,Bullet
GHANDEEVAM2003,3052,GM,nihalsarin,3176,GM,Black Win,36,"Aug 22, 2023",N,-124,82.5,89.7,-7.200000000000003,1.0,0.0,1.0,Bullet
nihalsarin,3171,GM,GHANDEEVAM2003,3057,GM,White Win,27,"Aug 22, 2023",N,114,78.5,63.1,15.399999999999999,1.0,0.0,1.0,Bullet
GHANDEEVAM2003,3063,GM,nihalsarin,3165,GM,Black Win,64,"Aug 22, 2023",N,-102,,,,1.0,0.0,1.0,Bullet
nihalsarin,3159,GM,GHANDEEVAM2003,3069,GM,Black Win,40,"Aug 22, 2023",N,90,,,,1.0,0.0,1.0,Bullet
GHANDEEVAM2003,3059,GM,nihalsarin,3169,GM,Black Win,8,"Aug 22, 2023",N,-110,,,,1.0,0.0,1.0,Bullet
nihalsarin,3163,GM,GHANDEEVAM2003,3065,GM,White Win,59,"Aug 22, 2023",N,98,,,,1.0,0.0,1.0,Bullet
GHANDEEVAM2003,3071,GM,nihalsarin,3157,GM,Black Win,9,"Aug 22, 2023",N,-86,,,,1.0,0.0,1.0,Bullet
nihalsarin,3151,GM,GHANDEEVAM2003,3077,GM,White Win,30,"Aug 22, 2023",N,74,91.7,80.8,10.900000000000006,1.0,0.0,1.0,Bullet
GHANDEEVAM2003,3084,GM,nihalsarin,3144,GM,Black Win,42,"Aug 22, 2023",N,-60,72.7,81.7,-9.0,1.0,0.0,1.0,Bullet
nihalsarin,3137,GM,GHANDEEVAM2003,3091,GM,White Win,30,"Aug 22, 2023",N,46,93.7,83.3,10.400000000000006,1.0,0.0,1.0,Bullet
GHANDEEVAM2003,3098,GM,nihalsarin,3130,GM,Black Win,93,"Aug 22, 2023",N,-32,78.7,80.1,-1.3999999999999915,1.0,0.0,1.0,Bullet
nihalsarin,3122,GM,GHANDEEVAM2003,3106,GM,Draw,43,"Aug 22, 2023",N,16,94.5,94.9,-0.4000000000000057,1.0,0.0,1.0,Bullet
GHANDEEVAM2003,3106,GM,nihalsarin,3122,GM,Black Win,81,"Aug 22, 2023",N,-16,,,,1.0,0.0,1.0,Bullet
nihalsarin,3114,GM,GHANDEEVAM2003,3114,GM,Black Win,43,"Aug 22, 2023",N,0,78.6,89.2,-10.600000000000009,1.0,0.0,1.0,Bullet
GHANDEEVAM2003,3106,GM,nihalsarin,3122,GM,Draw,61,"Aug 22, 2023",N,-16,94.3,94.5,-0.20000000000000284,1.0,0.0,1.0,Bullet
nihalsarin,3122,GM,GHANDEEVAM2003,3106,GM,White Win,25,"Aug 22, 2023",N,16,94.5,83.3,11.200000000000003,1.0,0.0,1.0,Bullet
GHANDEEVAM2003,3114,GM,nihalsarin,3114,GM,White Win,19,"Aug 22, 2023",N,0,,,,1.0,0.0,1.0,Bullet
nihalsarin,3122,GM,GHANDEEVAM2003,3106,GM,Black Win,34,"Aug 22, 2023",N,16,79.4,92.8,-13.399999999999991,1.0,0.0,1.0,Bullet
GHANDEEVAM2003,3097,GM,nihalsarin,3131,GM,Black Win,25,"Aug 22, 2023",N,-34,79.7,95.9,-16.200000000000003,1.0,0.0,1.0,Bullet
nihalsarin,3123,GM,GHANDEEVAM2003,3105,GM,Black Win,77,"Aug 22, 2023",N,18,,,,1.0,0.0,1.0,Bullet
GHANDEEVAM2003,3096,GM,nihalsarin,3132,GM,Black Win,69,"Aug 22, 2023",N,-36,83.9,83.9,0.0,1.0,0.0,1.0,Bullet
nihalsarin,3125,GM,GHANDEEVAM2003,3103,GM,Black Win,38,"Aug 22, 2023",N,22,,,,1.0,0.0,1.0,Bullet
LyonBeast,2775,GM,Polish_fighter3000,2778,GM,White Win,47,"Sep 18, 2023",N,-3,95.6,89.2,6.3999999999999915,10.0,2.0,11.566666666666666,Rapid
Polish_fighter3000,2801,GM,LyonBeast,2761,GM,Draw,27,"Sep 18, 2023",N,40,95.4,95.4,0.0,10.0,2.0,10.9,Rapid
Polish_fighter3000,2804,GM,Antipov_Mikhail_Al,2632,GM,White Win,35,"Sep 18, 2023",Y,172,96.3,90.3,6.0,10.0,2.0,11.166666666666666,Rapid
jefferyx,2702,GM,Polish_fighter3000,2790,GM,Draw,20,"Sep 18, 2023",Y,-88,97.0,96.5,0.5,10.0,2.0,10.666666666666666,Rapid
VincentKeymer,2704,GM,Polish_fighter3000,2796,GM,Draw,32,"Sep 18, 2023",Y,-92,98.8,99.1,-0.29999999999999716,10.0,2.0,11.066666666666666,Rapid
Polish_fighter3000,2803,GM,Bigfish1995,2756,GM,Draw,72,"Sep 18, 2023",Y,47,79.9,80.5,-0.5999999999999943,10.0,2.0,12.4,Rapid
Polish_fighter3000,2807,GM,LyonBeast,2755,GM,Draw,68,"Sep 18, 2023",Y,52,91.0,91.2,-0.20000000000000284,10.0,2.0,12.266666666666666,Rapid
GeorgMeier,2703,GM,Polish_fighter3000,2812,GM,Draw,47,"Sep 18, 2023",Y,-109,98.5,99.1,-0.5999999999999943,10.0,2.0,11.566666666666666,Rapid
Polish_fighter3000,2823,GM,AnishGiri,2673,GM,White Win,39,"Sep 18, 2023",Y,150,93.0,85.4,7.599999999999994,10.0,2.0,11.3,Rapid
Durarbayli,2608,GM,Polish_fighter3000,2799,GM,Black Win,37,"Sep 18, 2023",Y,-191,76.1,88.6,-12.5,10.0,2.0,11.233333333333334,Rapid
Polish_fighter3000,2776,GM,GroovyKettle,2546,GM,White Win,34,"Sep 18, 2023",Y,230,88.8,79.9,8.899999999999991,10.0,2.0,11.133333333333333,Rapid
Polish_fighter3000,3074,GM,rasmussvane,3009,GM,Black Win,68,"Sep 12, 2023",Y,65,89.2,84.8,4.400000000000006,3.0,1.0,4.133333333333333,Blitz
Bauman_Guy,2903,FM,Polish_fighter3000,3084,GM,Black Win,83,"Sep 12, 2023",Y,-181,80.0,85.7,-5.700000000000003,3.0,1.0,4.383333333333333,Blitz
Polish_fighter3000,3080,GM,kingofthenil,2790,IM,White Win,69,"Sep 12, 2023",Y,290,82.3,80.9,1.3999999999999915,3.0,1.0,4.15,Blitz
ameetghasi100,2690,IM,Polish_fighter3000,3077,GM,Black Win,56,"Sep 12, 2023",Y,-387,78.6,86.4,-7.800000000000011,3.0,1.0,3.9333333333333336,Blitz
Polish_fighter3000,3075,GM,HalfIsCrayfish,2557,FM,White Win,47,"Sep 12, 2023",Y,518,89.1,81.2,7.8999999999999915,3.0,1.0,3.783333333333333,Blitz
cassoulet,2780,GM,Polish_fighter3000,3074,GM,White Win,37,"Sep 12, 2023",Y,-294,84.1,76.4,7.699999999999989,3.0,1.0,3.6166666666666667,Blitz
Polish_fighter3000,3088,GM,Aslanov_Umid,2566,NM,White Win,41,"Sep 12, 2023",Y,522,90.9,82.4,8.5,3.0,1.0,3.6833333333333336,Blitz
robertoalejandro10,2506,NM,Polish_fighter3000,3087,GM,Black Win,38,"Sep 12, 2023",Y,-581,88.1,94.0,-5.900000000000006,3.0,1.0,3.6333333333333333,Blitz
Polish_fighter3000,3086,GM,Firouzja2003,3078,GM,Draw,62,"Sep 12, 2023",Y,8,90.3,90.9,-0.6000000000000085,3.0,1.0,4.033333333333333,Blitz
GMBenjaminBok,3033,GM,Polish_fighter3000,3086,GM,White Win,59,"Sep 12, 2023",Y,-53,93.1,88.5,4.599999999999994,3.0,1.0,3.9833333333333334,Blitz
fireheart92,2964,GM,Polish_fighter3000,3096,GM,Black Win,35,"Sep 12, 2023",Y,-132,75.6,87.7,-12.100000000000009,3.0,1.0,3.5833333333333335,Blitz
Polish_fighter3000,3091,GM,Parhamov,3108,GM,White Win,38,"Sep 12, 2023",Y,-17,86.0,77.9,8.099999999999994,3.0,1.0,3.6333333333333333,Blitz
Lion-Al-Messi,2603,FM,Polish_fighter3000,3074,GM,Black Win,41,"Sep 12, 2023",Y,-471,83.9,91.8,-7.8999999999999915,3.0,1.0,3.6833333333333336,Blitz
Polish_fighter3000,3073,GM,Zkid,2898,GM,White Win,31,"Sep 12, 2023",Y,175,89.0,80.5,8.5,3.0,1.0,3.5166666666666666,Blitz
AlexanderL,2852,GM,Polish_fighter3000,3069,GM,Black Win,73,"Sep 12, 2023",Y,-217,79.3,85.8,-6.5,3.0,1.0,4.216666666666667,Blitz
Polish_fighter3000,3065,GM,Vuk2000,2761,IM,White Win,25,"Sep 12, 2023",Y,304,86.9,79.7,7.200000000000003,3.0,1.0,3.4166666666666665,Blitz
Forge13,2641,FM,Polish_fighter3000,3063,GM,Black Win,64,"Sep 12, 2023",Y,-422,78.1,81.7,-3.6000000000000085,3.0,1.0,4.066666666666666,Blitz
Polish_fighter3000,3062,GM,DishonorOnYourCow,2529,NM,White Win,35,"Sep 12, 2023",Y,533,92.0,81.2,10.799999999999997,3.0,1.0,3.5833333333333335,Blitz
GaiozNigalidze,2779,IM,Polish_fighter3000,3061,GM,White Win,38,"Sep 5, 2023",Y,-282,86.1,79.2,6.8999999999999915,3.0,1.0,3.6333333333333333,Blitz
Polish_fighter3000,3075,GM,Parhamov,2982,GM,Black Win,35,"Sep 5, 2023",Y,93,78.8,81.5,-2.700000000000003,3.0,1.0,3.5833333333333335,Blitz
Polish_fighter3000,3086,GM,TigrVShlyape,2880,GM,White Win,45,"Sep 5, 2023",Y,206,90.2,90.3,-0.09999999999999432,3.0,1.0,3.75,Blitz
Matibar,2893,GM,Polish_fighter3000,3082,GM,Draw,24,"Sep 5, 2023",Y,-189,92.5,88.7,3.799999999999997,3.0,1.0,3.4,Blitz
Polish_fighter3000,3086,GM,baag,2768,GM,White Win,87,"Sep 5, 2023",Y,318,93.1,90.2,2.8999999999999915,3.0,1.0,4.45,Blitz
lupta_robin,2608,IM,Polish_fighter3000,3084,GM,Black Win,47,"Sep 5, 2023",Y,-476,,,,3.0,1.0,3.783333333333333,Blitz
Polish_fighter3000,3083,GM,simplerXiao,2502,FM,White Win,27,"Sep 5, 2023",Y,581,95.3,85.4,9.899999999999991,3.0,1.0,3.45,Blitz
Polish_fighter3000,3082,GM,Parhamov,2951,GM,Black Win,43,"Sep 5, 2023",Y,131,86.7,89.7,-3.0,3.0,1.0,3.716666666666667,Blitz
BlueWizzard,2919,GM,Polish_fighter3000,3093,GM,Black Win,34,"Sep 5, 2023",Y,-174,,,,3.0,1.0,3.5666666666666664,Blitz
sergoy,2897,GM,Polish_fighter3000,3089,GM,Black Win,57,"Sep 5, 2023",Y,-192,,,,3.0,1.0,3.95,Blitz
Polish_fighter3000,3085,GM,vugarrasulov,2943,GM,Black Win,55,"Sep 5, 2023",Y,142,81.1,90.7,-9.600000000000009,3.0,1.0,3.9166666666666665,Blitz
Polish_fighter3000,3097,GM,frederiksvane,2924,GM,White Win,26,"Sep 5, 2023",Y,173,95.6,80.1,15.5,3.0,1.0,3.4333333333333336,Blitz
moro182,2846,GM,Polish_fighter3000,3092,GM,Black Win,35,"Sep 5, 2023",Y,-246,72.2,87.8,-15.599999999999994,3.0,1.0,3.5833333333333335,Blitz
Polish_fighter3000,3089,GM,Abund,2719,NM,White Win,31,"Sep 5, 2023",Y,370,94.5,82.7,11.799999999999997,3.0,1.0,3.5166666666666666,Blitz
Stouuf,2625,FM,Polish_fighter3000,3087,GM,Black Win,38,"Sep 5, 2023",Y,-462,83.3,91.9,-8.600000000000009,3.0,1.0,3.6333333333333333,Blitz
Polish_fighter3000,3086,GM,only_strong_moves,2520,NM,White Win,29,"Sep 5, 2023",Y,566,90.9,82.0,8.900000000000006,3.0,1.0,3.4833333333333334,Blitz
Korchmar_Vasiliy,2691,IM,Polish_fighter3000,3085,GM,White Win,48,"Sep 5, 2023",Y,-394,91.9,85.8,6.1000000000000085,3.0,1.0,3.8,Blitz
Polish_fighter3000,3100,GM,Ural_bogatyr,2543,IM,White Win,20,"Sep 5, 2023",Y,557,95.4,82.1,13.300000000000011,3.0,1.0,3.3333333333333335,Blitz
Polish_fighter3000,3099,GM,Grischuk,3007,GM,White Win,63,"Aug 22, 2023",Y,92,92.9,87.5,5.400000000000006,3.0,1.0,4.05,Blitz
Zhigalko_Sergei,2955,GM,Polish_fighter3000,3093,GM,Black Win,63,"Aug 22, 2023",Y,-138,89.2,94.6,-5.3999999999999915,3.0,1.0,4.05,Blitz
Polish_fighter3000,3088,GM,Hikaru,3247,GM,Black Win,41,"Aug 22, 2023",Y,-159,74.2,83.7,-9.5,3.0,1.0,3.6833333333333336,Blitz
Polish_fighter3000,3093,GM,K_A_S_T_O_R,2971,GM,White Win,36,"Aug 22, 2023",Y,122,94.5,85.6,8.900000000000006,3.0,1.0,3.6,Blitz
vladislavkovalev,2945,GM,Polish_fighter3000,3087,GM,Black Win,31,"Aug 22, 2023",Y,-142,79.4,90.0,-10.599999999999994,3.0,1.0,3.5166666666666666,Blitz
Polish_fighter3000,3082,GM,Zkid,2859,GM,White Win,44,"Aug 22, 2023",Y,223,89.9,82.1,7.800000000000011,3.0,1.0,3.7333333333333334,Blitz
greekplayer1,2714,FM,Polish_fighter3000,3078,GM,Black Win,37,"Aug 22, 2023",Y,-364,,,,3.0,1.0,3.6166666666666667,Blitz
Polish_fighter3000,3076,GM,IlyaGrigorjev,2909,FM,Black Win,54,"Aug 22, 2023",Y,167,84.5,93.5,-9.0,3.0,1.0,3.9,Blitz
rychessmaster1,2745,FM,Polish_fighter3000,3088,GM,Black Win,25,"Aug 22, 2023",Y,-343,78.7,91.6,-12.899999999999991,3.0,1.0,3.4166666666666665,Blitz
Polish_fighter3000,3086,GM,Harry_Rakkel,2632,GM,White Win,32,"Aug 22, 2023",Y,454,86.4,76.5,9.900000000000006,3.0,1.0,3.533333333333333,Blitz
malakismayil,2516,NM,Polish_fighter3000,3085,GM,Black Win,54,"Aug 22, 2023",Y,-569,80.1,89.6,-9.5,3.0,1.0,3.9,Blitz
Polish_fighter3000,3084,GM,BogdanDeac,3015,GM,Draw,48,"Aug 15, 2023",Y,69,88.3,88.7,-0.4000000000000057,3.0,1.0,3.8,Blitz
Polish_fighter3000,3086,GM,LyonBeast,3132,GM,Black Win,52,"Aug 15, 2023",Y,-46,81.5,90.4,-8.900000000000006,3.0,1.0,3.8666666666666667,Blitz
dretch,2918,GM,Polish_fighter3000,3093,GM,Black Win,26,"Aug 15, 2023",Y,-175,87.6,95.2,-7.6000000000000085,3.0,1.0,3.4333333333333336,Blitz
Polish_fighter3000,3089,GM,ContrVersia,2943,GM,White Win,68,"Aug 15, 2023",Y,146,89.8,86.1,3.700000000000003,3.0,1.0,4.133333333333333,Blitz
Hikaru,3219,GM,Polish_fighter3000,3084,GM,Black Win,52,"Aug 15, 2023",Y,135,88.7,93.7,-5.0,3.0,1.0,3.8666666666666667,Blitz
Polish_fighter3000,3073,GM,Firouzja2003,3124,GM,White Win,41,"Aug 15, 2023",Y,-51,95.4,88.2,7.200000000000003,3.0,1.0,3.6833333333333336,Blitz
Njal28,2968,GM,Polish_fighter3000,3063,GM,Black Win,47,"Aug 15, 2023",Y,-95,86.3,86.2,0.09999999999999432,3.0,1.0,3.783333333333333,Blitz
Polish_fighter3000,3057,GM,Igor_Lysyj,2867,GM,White Win,69,"Aug 15, 2023",Y,190,93.2,90.2,3.0,3.0,1.0,4.15,Blitz
ChessicallyInclined,2753,FM,Polish_fighter3000,3053,GM,Black Win,40,"Aug 15, 2023",Y,-300,75.0,85.9,-10.900000000000006,3.0,1.0,3.6666666666666665,Blitz
Polish_fighter3000,3051,GM,Djager97,2601,IM,White Win,31,"Aug 15, 2023",Y,450,93.5,77.4,16.099999999999994,3.0,1.0,3.5166666666666666,Blitz
Cambek64,2488,FM,Polish_fighter3000,3050,GM,Black Win,60,"Aug 15, 2023",Y,-562,78.6,88.3,-9.700000000000003,3.0,1.0,4.0,Blitz
kuli4ik,2946,GM,Polish_fighter3000,3049,GM,Black Win,51,"Aug 15, 2023",Y,-103,80.4,88.5,-8.099999999999994,3.0,1.0,3.85,Blitz
Polish_fighter3000,3043,GM,MITerryble,2935,IM,White Win,27,"Aug 15, 2023",Y,108,79.4,66.4,13.0,3.0,1.0,3.45,Blitz
Polish_fighter3000,3037,GM,bascheyaro,2789,FM,White Win,37,"Aug 15, 2023",Y,248,84.8,72.2,12.599999999999994,3.0,1.0,3.6166666666666667,Blitz
TigrVShlyape,2931,GM,Polish_fighter3000,3034,GM,Draw,61,"Aug 15, 2023",Y,-103,95.7,95.8,-0.09999999999999432,3.0,1.0,4.016666666666667,Blitz
Polish_fighter3000,3036,GM,Zhigalko_Sergei,2925,GM,Draw,53,"Aug 15, 2023",Y,111,79.5,75.5,4.0,3.0,1.0,3.8833333333333333,Blitz
Polish_fighter3000,3039,GM,GMKrikor,2800,GM,White Win,35,"Aug 15, 2023",Y,239,91.8,83.5,8.299999999999997,3.0,1.0,3.5833333333333335,Blitz
Witik,2737,FM,Polish_fighter3000,3036,GM,Black Win,34,"Aug 15, 2023",Y,-299,84.7,91.7,-7.0,3.0,1.0,3.5666666666666664,Blitz
Polish_fighter3000,3034,GM,davidkalashian,2604,IM,White Win,31,"Aug 15, 2023",Y,430,95.5,89.5,6.0,3.0,1.0,3.5166666666666666,Blitz
Makswolf200817,2740,FM,Polish_fighter3000,3033,GM,White Win,82,"Aug 15, 2023",Y,-293,87.3,82.3,5.0,3.0,1.0,4.366666666666667,Blitz
Polish_fighter3000,3047,GM,szachuspl,2607,NM,White Win,39,"Aug 15, 2023",Y,440,83.5,74.2,9.299999999999997,3.0,1.0,3.65,Blitz
viktorgen2021,2499,FM,Polish_fighter3000,3046,GM,Black Win,64,"Aug 15, 2023",Y,-547,80.2,83.9,-3.700000000000003,3.0,1.0,4.066666666666666,Blitz
TigrVShlyape,2966,GM,Polish_fighter3000,3045,GM,Draw,45,"Jul 25, 2023",Y,-79,83.5,83.5,0.0,3.0,1.0,3.75,Blitz
Polish_fighter3000,3047,GM,LyonBeast,3191,GM,Black Win,35,"Jul 25, 2023",Y,-144,87.2,95.1,-7.8999999999999915,3.0,1.0,3.5833333333333335,Blitz
Polish_fighter3000,3052,GM,Jospem,3009,GM,White Win,38,"Jul 25, 2023",Y,43,82.8,74.7,8.099999999999994,3.0,1.0,3.6333333333333333,Blitz
Sanan_Sjugirov,2948,GM,Polish_fighter3000,3045,GM,Black Win,40,"Jul 25, 2023",Y,-97,85.4,94.1,-8.699999999999989,3.0,1.0,3.6666666666666665,Blitz
Polish_fighter3000,3039,GM,MagnusCarlsen,3263,GM,Black Win,92,"Jul 25, 2023",Y,-224,83.2,82.8,0.4000000000000057,3.0,1.0,4.533333333333333,Blitz
Polish_fighter3000,3043,GM,GM_dmitrij,2991,GM,White Win,31,"Jul 25, 2023",Y,52,89.5,74.6,14.900000000000006,3.0,1.0,3.5166666666666666,Blitz
ShiroglanTalibov,2820,FM,Polish_fighter3000,3036,GM,Black Win,41,"Jul 25, 2023",Y,-216,73.2,81.6,-8.399999999999991,3.0,1.0,3.6833333333333336,Blitz
Polish_fighter3000,3032,GM,Mops_2004,2820,IM,White Win,32,"Jul 25, 2023",Y,212,95.1,89.8,5.299999999999997,3.0,1.0,3.533333333333333,Blitz
farzadbfd,2763,FM,Polish_fighter3000,3028,GM,Black Win,24,"Jul 25, 2023",Y,-265,79.6,93.2,-13.600000000000009,3.0,1.0,3.4,Blitz
Polish_fighter3000,3025,GM,Kildepiotr,2596,IM,White Win,16,"Jul 25, 2023",Y,429,94.2,79.4,14.799999999999997,3.0,1.0,3.2666666666666666,Blitz
biostatistician,2497,FM,Polish_fighter3000,3024,GM,Black Win,41,"Jul 25, 2023",Y,-527,85.9,91.3,-5.3999999999999915,3.0,1.0,3.6833333333333336,Blitz
Polish_fighter3000,3023,GM,Duhless,3101,GM,White Win,36,"Jul 25, 2023",Y,-78,85.3,78.1,7.200000000000003,3.0,1.0,3.6,Blitz
Polish_fighter3000,3013,GM,Harsha_Bharathakoti,2871,GM,White Win,51,"Jul 25, 2023",Y,142,86.3,81.7,4.599999999999994,3.0,1.0,3.85,Blitz
LyonBeast,3156,GM,Polish_fighter3000,3008,GM,White Win,41,"Jul 25, 2023",Y,148,77.8,70.6,7.200000000000003,3.0,1.0,3.6833333333333336,Blitz
MetiForce,2906,IM,Polish_fighter3000,3013,GM,Black Win,80,"Jul 25, 2023",Y,-107,87.4,93.3,-5.8999999999999915,3.0,1.0,4.333333333333333,Blitz
Polish_fighter3000,3007,GM,Kezin_Roman,2834,IM,White Win,29,"Jul 25, 2023",Y,173,91.5,82.2,9.299999999999997,3.0,1.0,3.4833333333333334,Blitz
Polish_fighter3000,3002,GM,Dedic8,2781,GM,White Win,34,"Jul 25, 2023",Y,221,92.2,85.7,6.5,3.0,1.0,3.5666666666666664,Blitz
Fantastic_Power,2734,FM,Polish_fighter3000,2998,GM,Black Win,24,"Jul 25, 2023",Y,-264,63.6,65.7,-2.1000000000000014,3.0,1.0,3.4,Blitz
Polish_fighter3000,2995,GM,isaak2009,2613,NM,White Win,43,"Jul 25, 2023",Y,382,84.2,74.9,9.299999999999997,3.0,1.0,3.716666666666667,Blitz
erugee,2219,FM,Polish_fighter3000,2993,GM,Black Win,29,"Jul 25, 2023",Y,-774,86.7,96.1,-9.399999999999991,3.0,1.0,3.4833333333333334,Blitz
Polish_fighter3000,2993,GM,Gold_Ocean,2635,NM,Black Win,59,"Jul 25, 2023",Y,358,85.1,90.8,-5.700000000000003,3.0,1.0,3.9833333333333334,Blitz
Truequitos,2499,FM,Polish_fighter3000,3007,GM,Black Win,48,"Jul 25, 2023",Y,-508,83.5,87.7,-4.200000000000003,3.0,1.0,3.8,Blitz
Polish_fighter3000,3006,GM,ChessBrah,2896,GM,White Win,32,"Jul 24, 2023",N,110,92.5,77.0,15.5,3.0,0.0,3.0,Blitz
Zhigalko_Sergei,2901,GM,Polish_fighter3000,3000,GM,White Win,37,"Jul 18, 2023",Y,-99,76.0,78.2,-2.200000000000003,3.0,1.0,3.6166666666666667,Blitz
Polish_fighter3000,3011,GM,Karacsonyi_Gellert,2815,IM,White Win,29,"Jul 18, 2023",Y,196,91.4,80.4,11.0,3.0,1.0,3.4833333333333334,Blitz
VladimirKramnik,2983,GM,Polish_fighter3000,3007,GM,White Win,36,"Jul 18, 2023",Y,-24,86.0,79.5,6.5,3.0,1.0,3.6,Blitz
Polish_fighter3000,3016,GM,MITerryble,2978,IM,Black Win,37,"Jul 18, 2023",Y,38,81.2,89.5,-8.299999999999997,3.0,1.0,3.6166666666666667,Blitz
Polish_fighter3000,3025,GM,nihalsarin,3058,GM,White Win,15,"Jul 18, 2023",Y,-33,99.6,79.6,20.0,3.0,1.0,3.25,Blitz
Genghis_K,2835,GM,Polish_fighter3000,3016,GM,Black Win,47,"Jul 18, 2023",Y,-181,80.3,84.4,-4.1000000000000085,3.0,1.0,3.783333333333333,Blitz
Fonsofan,2745,IM,Polish_fighter3000,3012,GM,Black Win,41,"Jul 18, 2023",Y,-267,85.1,92.2,-7.1000000000000085,3.0,1.0,3.6833333333333336,Blitz
Polish_fighter3000,3009,GM,IlanSchnaider,2657,FM,White Win,40,"Jul 18, 2023",Y,352,93.2,79.6,13.600000000000009,3.0,1.0,3.6666666666666665,Blitz
amiralfio,2562,IM,Polish_fighter3000,3007,GM,Black Win,39,"Jul 18, 2023",Y,-445,63.4,75.6,-12.199999999999996,3.0,1.0,3.65,Blitz
Polish_fighter3000,3006,GM,brm72,2587,NM,Draw,54,"Jul 18, 2023",Y,419,86.6,85.4,1.1999999999999886,3.0,1.0,3.9,Blitz
infinitegiantkiller,2491,NM,Polish_fighter3000,3013,GM,Black Win,46,"Jul 18, 2023",Y,-522,85.7,91.7,-6.0,3.0,1.0,3.7666666666666666,Blitz
Antipov_Mikhail_Al,2923,GM,Polish_fighter3000,3012,GM,White Win,38,"Jul 18, 2023",Y,-89,88.6,87.7,0.8999999999999915,3.0,1.0,3.6333333333333333,Blitz
Polish_fighter3000,3022,GM,Sam_ChessMood,2847,GM,White Win,32,"Jul 18, 2023",Y,175,83.3,76.1,7.200000000000003,3.0,1.0,3.533333333333333,Blitz
realmadridfc123,2744,FM,Polish_fighter3000,3018,GM,Black Win,29,"Jul 18, 2023",Y,-274,89.1,93.5,-4.400000000000006,3.0,1.0,3.4833333333333334,Blitz
Polish_fighter3000,3015,GM,VerdeNotte,2944,GM,Black Win,81,"Jul 18, 2023",Y,71,81.7,85.4,-3.700000000000003,3.0,1.0,4.35,Blitz
Elsa167,2801,GM,Polish_fighter3000,3025,GM,Black Win,55,"Jul 18, 2023",Y,-224,74.2,77.9,-3.700000000000003,3.0,1.0,3.9166666666666665,Blitz
Polish_fighter3000,3021,GM,GianmarcoVaR,2716,IM,White Win,51,"Jul 18, 2023",Y,305,75.1,72.1,3.0,3.0,1.0,3.85,Blitz
blank0923,2621,FM,Polish_fighter3000,3019,GM,Black Win,30,"Jul 18, 2023",Y,-398,78.4,86.7,-8.299999999999997,3.0,1.0,3.5,Blitz
Polish_fighter3000,3017,GM,viktorgen2021,2509,FM,White Win,88,"Jul 18, 2023",Y,508,75.9,70.4,5.5,3.0,1.0,4.466666666666667,Blitz
Njal28,2962,GM,Polish_fighter3000,3016,GM,Black Win,45,"Jul 17, 2023",N,-54,71.8,78.1,-6.299999999999997,3.0,0.0,3.0,Blitz
Polish_fighter3000,3009,GM,Njal28,2969,GM,White Win,32,"Jul 17, 2023",N,40,95.3,85.0,10.299999999999997,3.0,0.0,3.0,Blitz
Njal28,2976,GM,Polish_fighter3000,3002,GM,Black Win,50,"Jul 17, 2023",N,-26,88.4,90.8,-2.3999999999999915,3.0,0.0,3.0,Blitz
Polish_fighter3000,2994,GM,Njal28,2984,GM,Black Win,38,"Jul 17, 2023",N,10,80.4,85.5,-5.099999999999994,3.0,0.0,3.0,Blitz
Sina_Movahed,2999,FM,Polish_fighter3000,3003,GM,White Win,63,"Jul 15, 2023",N,-4,74.7,76.0,-1.2999999999999972,3.0,0.0,3.0,Blitz
Polish_fighter3000,3012,GM,Sina_Movahed,2990,FM,White Win,44,"Jul 15, 2023",N,22,90.1,83.2,6.8999999999999915,3.0,0.0,3.0,Blitz
Sina_Movahed,2998,FM,Polish_fighter3000,3004,GM,White Win,62,"Jul 15, 2023",N,-6,95.4,92.8,2.6000000000000085,3.0,0.0,3.0,Blitz
Polish_fighter3000,3013,GM,WIDBIFS,2882,FM,White Win,27,"Jul 15, 2023",N,131,92.2,81.2,11.0,3.0,0.0,3.0,Blitz
WIDBIFS,2887,FM,Polish_fighter3000,3008,GM,White Win,51,"Jul 15, 2023",N,-121,78.5,80.1,-1.5999999999999943,3.0,0.0,3.0,Blitz
Polish_fighter3000,3019,GM,WIDBIFS,2876,FM,White Win,38,"Jul 15, 2023",N,143,90.5,82.8,7.700000000000003,3.0,0.0,3.0,Blitz
WIDBIFS,2881,FM,Polish_fighter3000,3014,GM,White Win,46,"Jul 15, 2023",N,-133,76.3,74.3,2.0,3.0,0.0,3.0,Blitz
Y0ung_Capablanca,2850,GM,Polish_fighter3000,3025,GM,Black Win,41,"Jul 14, 2023",N,-175,75.4,81.3,-5.8999999999999915,3.0,0.0,3.0,Blitz
