Username (White),Rating (White),Title (White),Username (Black),Rating (Black),Title (Black),Result,Moves Count,Date,Tournament Game,Rating Difference,Accuracy (White),Accuracy (Black),Accuracy Difference,Time,Interval,Total Time,Game Type
NikoTheodorou,3004,GM,MagnusCarlsen,3227,GM,Black Win,81,"Sep 18, 2023",N,-223,73.3,71.6,1.7000000000000028,3.0,0.0,3.0,Blitz
MagnusCarlsen,3223,GM,NikoTheodorou,3008,GM,White Win,36,"Sep 18, 2023",N,215,86.1,77.2,8.899999999999991,3.0,0.0,3.0,Blitz
NikoTheodorou,3012,GM,MagnusCarlsen,3219,GM,Black Win,33,"Sep 18, 2023",N,-207,73.1,68.8,4.299999999999997,3.0,0.0,3.0,Blitz
LPSupi,2919,GM,MagnusCarlsen,3215,GM,Black Win,85,"Sep 18, 2023",N,-296,87.8,89.6,-1.7999999999999972,3.0,0.0,3.0,Blitz
MagnusCarlsen,3212,GM,LPSupi,2922,GM,White Win,54,"Sep 18, 2023",N,290,94.8,87.1,7.700000000000003,3.0,0.0,3.0,Blitz
LPSupi,2925,GM,MagnusCarlsen,3209,GM,Black Win,32,"Sep 18, 2023",N,-284,80.0,90.4,-10.400000000000006,3.0,0.0,3.0,Blitz
MagnusCarlsen,3206,GM,LPSupi,2928,GM,White Win,41,"Sep 18, 2023",N,278,91.0,84.7,6.299999999999997,3.0,0.0,3.0,Blitz
LPSupi,2931,GM,MagnusCarlsen,3203,GM,Black Win,47,"Sep 18, 2023",N,-272,89.8,94.6,-4.799999999999997,3.0,0.0,3.0,Blitz
MagnusCarlsen,3200,GM,LPSupi,2934,GM,Black Win,53,"Sep 18, 2023",N,266,85.4,87.1,-1.6999999999999886,3.0,0.0,3.0,Blitz
mitrabhaa,2920,GM,MagnusCarlsen,3319,GM,Black Win,29,"Sep 16, 2023",Y,-399,78.3,90.1,-11.799999999999997,1.0,0.0,1.0,Bullet
MagnusCarlsen,3317,GM,ArtemDyachuk,2758,FM,White Win,26,"Sep 16, 2023",Y,559,93.7,71.8,21.900000000000006,1.0,0.0,1.0,Bullet
ukchessbomber,2739,NM,MagnusCarlsen,3316,GM,Black Win,28,"Sep 16, 2023",Y,-577,89.4,97.8,-8.399999999999991,1.0,0.0,1.0,Bullet
OhanyanEminChess,2993,IM,MagnusCarlsen,3315,GM,Black Win,34,"Sep 16, 2023",Y,-322,75.6,82.4,-6.800000000000011,1.0,0.0,1.0,Bullet
Oleksandr_Bortnyk,3140,GM,MagnusCarlsen,3313,GM,Black Win,47,"Sep 16, 2023",Y,-173,82.3,92.3,-10.0,1.0,0.0,1.0,Bullet
MagnusCarlsen,3309,GM,nihalsarin,3179,GM,White Win,44,"Sep 16, 2023",Y,130,94.8,89.2,5.599999999999994,1.0,0.0,1.0,Bullet
GHANDEEVAM2003,3141,GM,MagnusCarlsen,3304,GM,Black Win,57,"Sep 16, 2023",Y,-163,85.8,91.3,-5.5,1.0,0.0,1.0,Bullet
TrashinalMaster,2387,NM,MagnusCarlsen,3299,GM,Black Win,59,"Sep 16, 2023",Y,-912,83.2,86.3,-3.0999999999999943,1.0,0.0,1.0,Bullet
MagnusCarlsen,3299,GM,Parhamov,3017,GM,White Win,63,"Sep 16, 2023",Y,282,88.7,83.8,4.900000000000006,1.0,0.0,1.0,Bullet
MagnusCarlsen,3296,GM,OhanyanEminChess,2978,IM,White Win,25,"Sep 16, 2023",Y,318,95.9,87.2,8.700000000000003,1.0,0.0,1.0,Bullet
MagnusCarlsen,3294,GM,Nikita_Klepikov,2348,FM,White Win,28,"Sep 16, 2023",Y,946,87.2,71.3,15.900000000000006,1.0,0.0,1.0,Bullet
lamomiajunior,2809,IM,MagnusCarlsen,3294,GM,Black Win,39,"Sep 16, 2023",Y,-485,80.9,95.3,-14.399999999999991,1.0,0.0,1.0,Bullet
MagnusCarlsen,3293,GM,Vsevolod_Ovchinnikov,2655,FM,White Win,33,"Sep 16, 2023",Y,638,87.4,71.3,16.10000000000001,1.0,0.0,1.0,Bullet
gurelediz,2992,IM,MagnusCarlsen,3293,GM,Black Win,48,"Sep 16, 2023",Y,-301,82.5,87.0,-4.5,1.0,0.0,1.0,Bullet
HanSchut,2212,NM,MagnusCarlsen,3291,GM,Black Win,49,"Sep 16, 2023",Y,-1079,68.9,78.8,-9.899999999999991,1.0,0.0,1.0,Bullet
TrimitziosP7,2979,FM,MagnusCarlsen,3291,GM,Black Win,32,"Sep 16, 2023",Y,-312,66.8,78.8,-12.0,1.0,0.0,1.0,Bullet
MagnusCarlsen,3289,GM,denizozen,2956,IM,White Win,34,"Sep 16, 2023",Y,333,85.7,79.7,6.0,1.0,0.0,1.0,Bullet
MagnusCarlsen,3287,GM,starworld123,2837,GM,White Win,27,"Sep 16, 2023",Y,450,92.9,78.4,14.5,1.0,0.0,1.0,Bullet
Gogolev_Artemy,2449,IM,MagnusCarlsen,3286,GM,Black Win,30,"Sep 16, 2023",Y,-837,84.4,92.6,-8.199999999999989,1.0,0.0,1.0,Bullet
MagnusCarlsen,3286,GM,LiamPutnam2008,2930,FM,White Win,19,"Sep 16, 2023",Y,356,92.8,69.3,23.5,1.0,0.0,1.0,Bullet
Larina_Maria,2073,NM,MagnusCarlsen,3284,GM,Black Win,25,"Sep 16, 2023",Y,-1211,67.2,87.0,-19.799999999999997,1.0,0.0,1.0,Bullet
stollenmonster,2746,NM,MagnusCarlsen,3284,GM,Black Win,36,"Sep 16, 2023",Y,-538,79.5,91.0,-11.5,1.0,0.0,1.0,Bullet
MagnusCarlsen,3283,GM,DanielNaroditsky,3235,GM,Black Win,21,"Sep 16, 2023",Y,48,86.3,96.9,-10.600000000000009,1.0,0.0,1.0,Bullet
MagnusCarlsen,3293,GM,dropstoneDP,3127,GM,Black Win,78,"Sep 16, 2023",Y,166,90.9,95.2,-4.299999999999997,1.0,0.0,1.0,Bullet
MagnusCarlsen,3305,GM,rquery98,2717,IM,White Win,41,"Sep 16, 2023",Y,588,94.5,86.2,8.299999999999997,1.0,0.0,1.0,Bullet
Jospem,3144,GM,MagnusCarlsen,3304,GM,White Win,91,"Sep 16, 2023",Y,-160,89.0,85.0,4.0,1.0,0.0,1.0,Bullet
